Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Avg EV,Hard Hit%,Max EV,FV,playerId
"Wander Franco","SS","TBR",1,1,"20.2611111","60 / 80",60,70,"45 / 60","55 / 55","60 / 60","50 / 55",89,0.39,108,"80","sa3007033"
"Adley Rutschman","C","BAL",2,1,"23.3305555","45 / 55",60,45,"45 / 55","60 / 60","40 / 35","60 / 70",91,0.39,107,"65","sa3011643"
"Randy Arozarena","LF","TBR",3,2,"26.2638888","50 / 55",50,55,"55 / 60","60 / 60","50 / 50","45 / 45",90,0.42,113,"60","19290"
"Jarred Kelenic","RF","SEA",4,1,"21.8861111","50 / 60",55,55,"50 / 60","60 / 60","50 / 45","45 / 45",90,0.43,107,"60","22558"
"CJ Abrams","2B","SDP",5,1,"20.6722222","50 / 70",40,70,"40 / 55","45 / 55","80 / 80","35 / 45",89,0.41,102,"60","sa3010152"
"Ke'Bryan Hayes","3B","PIT",6,1,"24.3527777","55 / 60",60,55,"45 / 50","50 / 50","60 / 55","70 / 70",92,0.55,110,"60","18577"
"Cristian Pache","CF","ATL",7,1,"22.5444444","45 / 50",40,55,"40 / 45","50 / 55","70 / 70","80 / 80",88,0.36,105,"60","19948"
"Spencer Torkelson","1B","DET",8,1,"21.775","35 / 60",70,55,"35 / 65","65 / 70","40 / 40","40 / 40",97,0.66,112,"60","sa3014504"
"Marco Luciano","SS","SFG",10,1,"19.6555555","25 / 60",55,50,"25 / 70","60 / 70","50 / 45","30 / 40",92,0.5,109,"60","sa3010022"
"Andrew Vaughn","1B","CHW",13,1,"23.1722222","55 / 70",70,60,"50 / 60","60 / 60","30 / 30","40 / 40",91,0.46,111,"60","26197"
"Brandon Marsh","CF","LAA",14,1,"23.4638888","45 / 55",55,50,"40 / 55","55 / 55","60 / 60","50 / 60",90,0.42,110,"60","sa917944"
"Dylan Carlson","LF","STL",15,1,"22.6166666","50 / 55",55,50,"45 / 55","50 / 55","50 / 40","50 / 55",88,0.34,105,"60","20126"
"Alex Kirilloff","RF","MIN",16,1,"23.5722222","50 / 60",40,60,"50 / 60","60 / 60","30 / 30","40 / 40",91,0.47,107,"60","20325"
"Bobby Witt Jr.","SS","KCR",18,1,"20.975","30 / 45",50,40,"25 / 60","60 / 65","60 / 60","50 / 60",92,0.49,109,"60","sa3011225"
"Julio Rodriguez","RF","SEA",19,2,"20.4333333","30 / 55",40,60,"35 / 60","60 / 70","50 / 50","40 / 50",92,0.53,109,"60","sa3005720"
"Corbin Carroll","CF","ARI",20,1,"20.7888888","35 / 70",60,60,"30 / 50","45 / 50","70 / 70","50 / 60",91,0.48,108,"60","sa3010593"
"Vidal Brujan","2B","TBR",22,4,"23.3222222","50 / 65",55,60,"30 / 45","45 / 50","70 / 70","50 / 55",87,0.28,104,"60","sa872786"
"Luis Campusano","C","SDP",26,3,"22.6833333","45 / 55",55,60,"30 / 50","55 / 60","40 / 40","40 / 45",89,0.39,109,"55","22217"
"Francisco Alvarez","C","NYM",29,1,"19.5444444","25 / 55",55,50,"25 / 50","50 / 55","45 / 40","45 / 55",89,0.39,104,"55","sa3010862"
"JJ Bleday","RF","MIA",33,3,"23.5694444","45 / 55",60,55,"45 / 55","55 / 55","45 / 40","50 / 60",88,0.31,109,"55","sa3011642"
"Trevor Larnach","RF","MIN",34,2,"24.275","45 / 55",60,50,"50 / 60","65 / 65","40 / 40","35 / 40",92,0.51,110,"55","21501"
"Riley Greene","RF","DET",36,5,"20.6861111","35 / 60",60,60,"35 / 55","50 / 55","50 / 45","45 / 50",87,0.35,106,"55","sa3010694"
"Nick Madrigal","2B","CHW",37,3,"24.2222222","60 / 70",50,80,"30 / 30","35 / 35","60 / 60","60 / 60",84,0.21,104,"55","20521"
"Nolan Gorman","3B","STL",38,2,"21.0694444","30 / 50",55,40,"25 / 60","65 / 70","40 / 40","40 / 45",91,0.45,109,"55","sa3007017"
"Brennen Davis","CF","CHC",39,0,"21.5916666","30 / 50",45,45,"35 / 55","55 / 60","60 / 55","45 / 55",87,0.41,104,"55","sa3007876"
"Ronny Mauricio","SS","NYM",41,2,"20.1694444","30 / 50",35,45,"30 / 50","45 / 55","50 / 50","45 / 50",87,0.35,102,"55","sa3006887"
"Kristian Robinson","RF","ARI",42,2,"20.4833333","30 / 40",50,45,"30 / 60","60 / 70","60 / 50","45 / 50",92,0.5,109,"55","sa3006884"
"Austin Martin","CF","TOR",43,2,"22.2","35 / 60",70,60,"35 / 50","45 / 50","50 / 50","35 / 45",90,,105,"55","sa3014454"
"Alek Thomas","LF","ARI",44,3,"21.1027777","35 / 55",55,45,"40 / 55","50 / 55","60 / 60","50 / 55",90,0.45,107,"55","sa3006892"
"Royce Lewis","SS","MIN",46,3,"22","30 / 40",40,50,"40 / 60","60 / 70","60 / 50","40 / 45",90,0.42,108,"55","sa3004259"
"Drew Waters","CF","ATL",47,3,"22.4305555","40 / 60",30,55,"40 / 50","55 / 60","60 / 60","45 / 50",89,0.4,109,"55","sa3004378"
"Jazz Chisholm Jr.","SS","MIA",48,4,"23.3444444","40 / 40",30,55,"50 / 55","60 / 60","60 / 60","55 / 60",91,0.48,108,"55","20454"
"Jose Barrero","SS","CIN",49,1,"23.1666666","30 / 40",40,45,"40 / 50","55 / 60","60 / 60","60 / 60",87,0.35,109,"55","23378"
"Jasson Dominguez","CF","NYY",50,1,"18.3277777","20 / 55",,,"25 / 60","70 / 70","70 / 70","45 / 55",,,,"50","sa3014696"
"Nolan Jones","LF","CLE",51,1,"23.0777777","30 / 40",80,40,"50 / 65","70 / 70","30 / 30","40 / 45",92,0.52,114,"50","sa917941"
"Jeter Downs","2B","BOS",52,1,"22.8555555","40 / 50",55,55,"40 / 45","50 / 50","45 / 45","45 / 50",88,0.38,106,"50","sa3004615"
"Triston Casas","1B","BOS",53,2,"21.3888888","35 / 55",55,55,"35 / 60","65 / 70","30 / 20","35 / 40",87,0.3,107,"50","sa3007634"
"Joey Bart","C","SFG",54,2,"24.4722222","30 / 40",45,50,"50 / 60","60 / 60","35 / 30","65 / 70",92,0.39,109,"50","21524"
"Josh Lowe","CF","TBR",55,5,"23.3416666","30 / 40",60,45,"40 / 55","60 / 60","60 / 60","40 / 45",90,0.43,110,"50","sa917926"
"Tyler Soderstrom","1B","OAK",57,0,"19.5305555","25 / 60",60,60,"20 / 55","50 / 60","40 / 40","30 / 45",,,,"50","sa3014489"
"Ryan Jeffers","C","MIN",59,4,"24.2472222","40 / 45",50,55,"45 / 55","60 / 60","40 / 40","55 / 55",91,0.41,112,"50","24618"
"Heliot Ramos","RF","SFG",61,3,"21.7444444","35 / 45",50,50,"45 / 55","55 / 55","55 / 50","45 / 50",90,0.52,108,"50","sa3004693"
"George Valera","RF","CLE",64,3,"20.5611111","35 / 45",50,45,"35 / 60","55 / 60","50 / 45","45 / 45",91,0.43,107,"50","sa3006872"
"Ha-Seong Kim","SS","SDP",65,4,"25.6333333","40 / 50",45,50,"40 / 45","50 / 50","55 / 55","50 / 50",87,0.33,112,"50","27506"
"Ivan Herrera","C","STL",66,3,"21.0111111","35 / 50",55,55,"25 / 45","50 / 55","30 / 30","45 / 55",87,0.32,110,"50","sa3003191"
"Jeremy Pena","SS","HOU",67,1,"23.7027777","40 / 50",45,50,"30 / 40","45 / 45","55 / 55","55 / 60",87,0.37,105,"50","sa876320"
"Oswald Peraza","SS","NYY",68,3,"20.9722222","45 / 60",50,55,"30 / 45","40 / 45","60 / 60","55 / 60",87,0.35,106,"50","sa3003305"
"Geraldo Perdomo","SS","ARI",69,4,"21.6194444","35 / 55",70,60,"30 / 45","45 / 50","55 / 55","45 / 55",87,0.16,103,"50","22799"
"Noelvi Marte","SS","SEA",70,5,"19.6361111","20 / 50",50,50,"25 / 60","50 / 60","60 / 55","40 / 50",87,0.31,103,"50","sa3008745"
"Zac Veen","CF","COL",71,1,"19.4805555","25 / 55",,,"25 / 60","55 / 65","60 / 55","40 / 50",91,,103,"50","sa3014516"
"Robert Hassell III","CF","SDP",72,5,"19.8055555","25 / 55",,,"20 / 45","45 / 50","55 / 55","40 / 50",,,,"50","sa3014701"
"Alejandro Kirk","C","TOR",75,4,"22.5805555","55 / 60",60,60,"40 / 45","50 / 50","20 / 20","40 / 40",91,0.48,107,"50","22581"
"Jordan Groshans","3B","TOR",77,5,"21.5694444","30 / 45",,,"35 / 60","60 / 70","55 / 50","45 / 50",90,,107,"50","sa3006893"
"Tyler Stephenson","C","CIN",78,2,"24.8027777","45 / 50",55,45,"40 / 45","65 / 65","30 / 30","45 / 50",90,0.4,106,"50","17988"
"Brayan Rocchio","SS","CLE",79,4,"20.3944444","35 / 60",45,60,"30 / 40","30 / 40","60 / 60","60 / 70",85,0.18,102,"50","sa3005898"
"Keibert Ruiz","C","LAD",80,2,"22.875","55 / 60",30,70,"30 / 30","45 / 45","20 / 20","50 / 50",88,0.28,100,"50","19610"
"Xavier Edwards","2B","TBR",84,6,"21.8222222","35 / 60",45,70,"20 / 30","40 / 40","80 / 80","45 / 50",84,0.35,100,"50","sa3007018"
"Michael Busch","2B","LAD",85,3,"23.5722222","35 / 55",60,50,"35 / 55","60 / 60","50 / 45","30 / 35",,,,"50","sa3011540"
