Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Avg EV,Hard Hit%,Max EV,FV,playerId
"Terrin Vavra","2B","BAL",,9,"24.0638888","35 / 60",60,55,"35 / 40","40 / 40","50 / 50","50 / 50",87,0.36,102,"45","sa3007643"
"Kyle Stowers","RF","BAL",,12,"23.425","30 / 45",50,45,"35 / 55","55 / 55","50 / 50","50 / 55",88,,110,"45","sa1115829"
"Parker Meadows","CF","DET",,7,"21.5916666","30 / 45",50,45,"30 / 50","55 / 60","60 / 60","45 / 55",85,0.29,104,"45","sa3007943"
"Cristian Santana","SS","DET",,8,"17.5277777","25 / 60",,60,"25 / 50","40 / 50","50 / 45","40 / 45",,,,"45",
"Yasel Antuna","3B","WSN",,3,"21.6083333","30 / 40",45,50,"35 / 50","50 / 55","40 / 40","40 / 45",86,,103,"45","sa962601"
"Isaac Paredes","3B","DET",,9,"22.2972222","55 / 60",50,70,"40 / 45","50 / 50","30 / 20","40 / 40",87,0.31,106,"45","20036"
"Cal Raleigh","C","SEA",,7,"24.525","35 / 40",55,40,"40 / 50","55 / 55","30 / 30","40 / 45",88,,108,"45","sa3008377"
"Taylor Trammell","LF","SEA",,8,"23.7277777","40 / 45",60,40,"40 / 50","55 / 55","70 / 70","60 / 70",88,,108,"45","19960"
"Aaron Sabato","1B","MIN",,8,"22.0027777","35 / 55",,,"35 / 55","60 / 60","30 / 30","40 / 50",94,,111,"45","sa3014494"
"Misael Urbina","CF","MIN",,9,"19.1055555","25 / 55",50,55,"25 / 50","45 / 50","55 / 50","40 / 50",81,0.38,98,"45","sa3008743"
"Jarren Duran","CF","BOS",,7,"24.75","45 / 55",45,45,"30 / 35","45 / 45","70 / 70","35 / 40",88,0.37,106,"45","sa3006786"
"Gilberto Celestino","CF","MIN",,10,"22.3111111","35 / 55",55,55,"30 / 35","40 / 40","60 / 60","55 / 60",90,0.45,104,"45","20233"
"Keoni Cavaco","3B","MIN",,11,"20.0083333","20 / 45",45,45,"25 / 55","55 / 60","60 / 55","40 / 50",85,,103,"45","sa3010706"
"Ronaldo Hernandez","C","BOS",,9,"23.5666666","30 / 35",30,45,"40 / 50","60 / 60","30 / 30","40 / 45",87,0.31,110,"45","sa881850"
"Bobby Dalbec","3B","BOS",,10,"25.9333333","30 / 30",60,40,"50 / 55","70 / 70","40 / 40","50 / 55",92,0.5,110,"45","19966"
"Korey Lee","C","HOU",,4,"22.8611111","30 / 45",50,45,"30 / 50","55 / 55","50 / 45","40 / 50",89,,108,"45","sa3010034"
"Pedro Leon","SS/CF","HOU",,7,"23.0194444","30 / 45",45,40,"40 / 55","60 / 60","60 / 60","55 / 55",,,,"45",
"Colin Barber","CF","HOU",,8,"20.5027777","35 / 55",45,55,"30 / 45","45 / 45","60 / 60","40 / 50",86,,104,"45","sa3010696"
"Luis Toribio","3B","SFG",,9,"20.6861111","35 / 55",50,50,"30 / 55","55 / 60","40 / 30","40 / 45",93,0.5,109,"45","sa3005541"
"Will Wilson","2B","SFG",,11,"22.8722222","35 / 55",50,50,"30 / 45","50 / 50","50 / 50","45 / 50",86,,103,"45","sa3009871"
"Alexander Canario","RF","SFG",,13,"21.0777777","30 / 40",45,40,"35 / 60","55 / 60","50 / 45","40 / 50",90,0.42,107,"45","sa3003316"
"Pete Crow-Armstrong","CF","NYM",,6,"19.1944444","25 / 50",,40,"20 / 40","45 / 50","60 / 60","50 / 70",,,,"45","sa3014458"
"Khalil Lee","RF","NYM",,8,"22.9416666","30 / 40",55,40,"35 / 50","55 / 60","55 / 55","45 / 55",89,,108,"45","19952"
"Kyle Isbel","RF","KCR",,5,"24.2555555","45 / 50",45,50,"40 / 45","50 / 50","50 / 50","60 / 60",89,,109,"45","21614"
"Nick Loftin","SS","KCR",,6,"22.6944444","35 / 50",,50,"30 / 45","45 / 50","55 / 55","45 / 50",89,,102,"45","sa3014511"
"Erick Pena","CF","KCR",,7,"18.2916666","20 / 45",,,"25 / 55","45 / 60","55 / 55","50 / 50",,,,"45","sa3014686"
