Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Chris Rodriguez","SIRP","LAA",,9,"22.875",,,"60 / 60","60 / 60","55 / 55","40 / 45","35 / 40",2150,2450,"93-96","97","40+","22310"
"Zack Burdi","SIRP","CHW",,6,"26.2388888","7/27/17","Tail","65 / 65","55 / 55","","55 / 55","30 / 35",2600,2700,"96-98","100","40+","19159"
"William Holmes","SP","LAA",,13,"20.4555555",,"Tail","45 / 50","45 / 55","","45 / 55","30 / 50",2450,,"88-94","95","40+","sa3007744"
"Ian Seymour","MIRP","TBR",,23,"22.4777777",,"Tail","45 / 45","50 / 55","","50 / 55","40 / 55",2200,2200,"93-95","96","40+","sa3014512"
"Taj Bradley","SP","TBR",,25,"20.2083333",,"Cut/Rise","55 / 60","50 / 55","","30 / 45","30 / 45",2400,2500,"93-97","97","40+","sa3007839"
"Christian Roa","SP","CIN",,11,"22.175",,"Rise","50 / 50","50 / 50","55 / 55","50 / 55","35 / 50",,,"92-93","96","40+","sa3014477"
"Jared Solomon","SIRP","CIN",,12,"23.9861111","11/22/20","Tail","70 / 70","60 / 60","","","40 / 45",2350,2500,"96-98","99","40+","sa3004589"
"Tony Santillan","SIRP","CIN",,14,"24.1388888",,"Tail","50 / 50","55 / 55","","45 / 50","40 / 45",2200,2600,"91-94","96","40+","sa874781"
"Michael Grove","MIRP","LAD",,16,"24.4638888","5/1/17","Rise","55 / 60","45 / 50","55 / 55","40 / 40","45 / 50",2300,2500,"90-93","95","40+","sa3008625"
"Gerardo Carrillo","SIRP","LAD",,17,"22.7277777",,"Sink/Tail","60 / 65","50 / 55","50 / 50","45 / 55","30 / 40",2300,2650,"93-96","99","40+","sa3002790"
"JoJo Romero","MIRP","PHI",,13,"24.7111111",,"Sink","55 / 55","50 / 55","","50 / 55","45 / 45",2250,2550,"93-95","96","40+","19574"
"Robinson Ortiz","MIRP","LAD",,20,"21.4194444",,"Tail","50 / 55","","45 / 55","50 / 55","30 / 40",2200,2550,"89-94","98","40+","sa3004006"
"Owen White","SP","TEX",,14,"21.8222222",,,"45 / 50","","55 / 60","45 / 55","30 / 50",2300,2500,"92-95","96","40+","sa3014481"
"Justin Slaten","MIRP","TEX",,15,"23.7222222",,,"55 / 55","60 / 70","","45 / 50","35 / 45",2300,2400,"92-96","97","40+","sa3010309"
"Ronny Henriquez","SP","TEX",,16,"20.9583333",,,"55 / 55","40 / 45","","50 / 60","35 / 55",2400,2350,"93-96","97","40+","sa3005835"
"Levi Kelly","MIRP","ARI",,14,"22.0583333",,"Rise","45 / 50","60 / 70","50 / 50","","30 / 40",2250,2500,"90-94","96","40+","sa3008500"
"Luis Frias","SIRP","ARI",,15,"23.0333333",,"Sink","55 / 55","45 / 50","45 / 50","","30 / 40",2350,2350,"93-97","99","40+","sa917588"
"A.J. Alexy","SIRP","TEX",,19,"23.1222222",,"Rise","60 / 60","","55 / 60","40 / 45","30 / 35",2250,2400,"93-97","99","40+","sa919115"
"Jhosmer Alvarez","SIRP","ARI",,18,"19.9333333",,"Rise","50 / 55","","40 / 45","","35 / 40",2100,2200,"92-96","98","40+","sa3005437"
"Ricky Vanasco","MIRP","TEX",,22,"22.6444444","44095","Rise","55 / 60","","60 / 70","","35 / 40",2250,,"92-96","98","40+","sa3004863"
"Justin Martinez","SP","ARI",,19,"19.8472222",,"Tail","55 / 60","45 / 50","","40 / 50","30 / 50",2350,2300,"92-96","98","40+","sa3005864"
"Dane Acker","SP","TEX",,23,"22.1777777",,,"55 / 60","45 / 50","45 / 50","40 / 45","30 / 45",,,"92-97","99","40+","sa3014924"
"Josh Sborz","SIRP","TEX",,25,"27.4666666",,"Sink","60 / 60","60 / 60","50 / 50","","50 / 50",2300,2200,"92-95","97","40+","18323"
"Avery Weems","MIRP","TEX",,26,"23.9972222",,"Tail","50 / 50","","55 / 60","45 / 50","30 / 40",,,"92-94","96","40+","sa3010256"
"Emmanuel Clase","SIRP","CLE",,18,"23.2138888",,"Cut","80 / 80","50 / 55","","","40 / 40",2500,2500,"98-100","102","40+","21032"
"Demarcus Evans","SIRP","TEX",,27,"24.6194444",,"Rise","70 / 70","","45 / 45","","30 / 40",2550,2450,"92-95","97","40+","21087"
"Tanner Burns","SP","CLE",,20,"22.4361111",,"Rise","45 / 50","50 / 55","45 / 45","45 / 50","40 / 50",2350,2600,"90-94","95","40+","sa3014451"
"Logan Allen","SP","CLE",,21,"22.75",,"Tail","45 / 50","","45 / 50","50 / 60","35 / 55",,2400,"89-92","94","40+","sa3014444"
"Nick Mikolajchak","SIRP","CLE",,24,"23.5388888",,"Rise","55 / 60","","55 / 60","50 / 55","40 / 50",2350,2900,"90-93","95","40+","sa3010303"
